# ::id 463009
# ::tok Notable journalists , political leaders , and other friends of Jennings attended .
# ::alignments 0-1.1.2.3.1 1-1.1.2.3.2 3-1.1.2.4.1 4-1.1.2.4.2 6-1.1.2.5 7-1.1.2.6.1 8-1.1.2.6.2 9-1.1.2.6.3.1 10-1.1.2.6.3.2 11-1.1.3
# ::format ucca
(v1 / label
    :H (v2 / label
           :A (v3 / label
                  :C (v5 / label
                         :E (v9 / label~e.0)
                         :C (v10 / label~e.1))
                  :C (v6 / label
                         :E (v11 / label~e.3)
                         :C (v12 / label~e.4))
                  :N (v7 / label~e.6)
                  :C (v8 / label
                         :E (v13 / label~e.7)
                         :C (v14 / label~e.8)
                         :E (v15 / label
                                 :R (v16 / label~e.9)
                                 :C (v17 / label~e.10))))
           :P (v4 / label~e.11)))
